attribute,value,display_order,usage,decision,is_identity,name_fragment,name_order,notes
equipment,Bike [Machines],1,0,,,,,
equipment,Bodyweight [Bodyweight / Apparatus],1,63,,,,,
equipment,Bench [Supports / Surfaces],1,10,,,,,
equipment,Bands [Recovery Tools],1,5,,,,,
equipment,Barbell [Free Weights],1,8,,,,,
equipment,Med Ball [Implements],1,4,,,,,
equipment,Bar [Bodyweight / Apparatus],2,5,,,,,
equipment,Box [Supports / Surfaces],2,5,,,,,
equipment,Rower [Machines],2,1,,,,,
equipment,Plate [Implements],2,3,,,,,
equipment,Dumbbell [Free Weights],2,33,,,,,
equipment,Foam Roller [Recovery Tools],2,0,,,,,
equipment,Massage Ball [Recovery Tools],3,0,,,,,
equipment,Ski [Machines],3,0,,,,,
equipment,Sandbag [Implements],3,1,,,,,
equipment,Kettlebell [Free Weights],3,53,,,,,
equipment,Rings [Bodyweight / Apparatus],3,2,,,,,
equipment,Floor [Supports / Surfaces],3,43,,,,,
equipment,Treadmill [Machines],4,1,,,,,
equipment,Mat [Recovery Tools],4,1,,,,,
equipment,Wall [Supports / Surfaces],4,3,,,,,
equipment,Trap Bar [Free Weights],4,1,,,,,
equipment,Rope [Bodyweight / Apparatus],4,6,,,,,
equipment,Stability Ball [Recovery Tools],5,0,,,,,
equipment,Yoga Block [Recovery Tools],6,0,,,,,
family,Squat,1,8,,,,,
family,Hinge,2,4,,,,,
family,Lunge,3,5,,,,,
family,Push/Press,4,9,,,,,
family,Pull,5,4,,,,,
family,Carry,6,0,,,,,
family,Plyometric,7,2,,,,,
family,Throw,8,2,,,,,
family,Core,9,2,,,,,
family,Inversion,10,2,,,,,
family,Rotation,11,0,,,,,
family,Climb,12,1,,,,,
family,Swing,13,0,,,,,
family,Row,14,1,,,,,
family,Bike,15,1,,,,,
family,Run,16,2,,,,,
family,Ski,17,1,,,,,
family,Rope,18,2,,,,,
family,Swim,19,1,,,,,
family,Mobility,20,3,,,,,
family,Olympic,21,2,,,,,
family,Support/Hold,22,0,,,,,
family,Ring/Bar,23,0,,,,,
family,Mobility/Control,24,0,,,,,
family,Stretching,25,0,,,,,
family,Foam Rolling,26,0,,,,,
family,Breath Work,27,0,,,,,
family,Activation,28,4,,,,,
family,Balance/Stability,29,0,,,,,
goal_type,Cool-Down,1,0,,,,,
goal_type,Stretching,2,1,,,,,
goal_type,Recovery,3,6,,,,,
goal_type,Mobility,4,21,,,,,
goal_type,Skill,5,17,,,,,
goal_type,Strength,6,170,,,,,
goal_type,MetCon,7,29,,,,,
load_position,Back [Barbell],1,4,,,,,
load_position,Front [Barbell],2,9,,,,,
load_position,Overhead [Barbell],3,0,,,,,
load_position,Zercher [Barbell],4,0,,,,,
load_position,Single Front Rack [Dumbbell / KB],5,0,,,,,
load_position,Double Front Rack [Dumbbell / KB],6,0,,,,,
load_position,Goblet [Dumbbell / KB],7,0,,,,,
load_position,Single Overhead [Dumbbell / KB],8,0,,,,,
load_position,Suitcase [Dumbbell / KB],9,3,,,,,
load_position,Bodyweight [Unloaded],10,27,,,,,
load_position,Hang [Unloaded],11,1,,,,,
load_position,Bear Hug [Odd Object],12,0,,,,,
load_position,Carry [Odd Object],13,1,,,,,
load_position,Offset [Odd Object],14,3,,,,,
modality,Weightlifting,1,166,,,,,
modality,Gymnastics,2,23,,,,,
modality,Monostructural,3,21,,,,,
modality,Recovery,4,29,,,,,
movement_style,Standard [Execution Control],1,3,,,,,
movement_style,Strict [Execution Control],2,9,,,,,
movement_style,Pause [Execution Control],3,0,,,,,
movement_style,Tempo [Execution Control],4,1,,,,,
movement_style,Eccentric (Negative) [Execution Control],5,0,,,,,
movement_style,Isometric (Hold) [Execution Control],6,0,,,,,
movement_style,Controlled [Execution Control],7,17,,,,,
movement_style,Kipping [Dynamic Power],8,0,,,,,
movement_style,Plyometric (Explosive) [Dynamic Power],9,7,,,,,
movement_style,Unbroken [Dynamic Power],10,6,,,,,
movement_style,Alternating [Dynamic Power],11,4,,,,,
movement_style,Assisted [Assistance / Load Variant],12,1,,,,,
movement_style,Weighted [Assistance / Load Variant],13,7,,,,,
movement_style,Deficit [Assistance / Load Variant],14,0,,,,,
movement_style,Partial / Range-Limited [Assistance / Load Variant],15,0,,,,,
muscle_region,Neck / Traps,1,6,,,,,
muscle_region,Shoulders,2,120,,,,,
muscle_region,Chest,3,52,,,,,
muscle_region,Upper Back,4,49,,,,,
muscle_region,Lats,5,40,,,,,
muscle_region,Biceps,6,52,,,,,
muscle_region,Back,7,12,,,,,
muscle_region,Triceps,7,74,,,,,
muscle_region,Forearms / Grip,8,58,,,,,
muscle_region,Core,9,158,,,,,
muscle_region,Obliques,10,35,,,,,
muscle_region,Lower Back,11,22,,,,,
muscle_region,Glutes,12,91,,,,,
muscle_region,Quads,13,75,,,,,
muscle_region,Hamstrings,14,69,,,,,
muscle_region,Calves,15,30,,,,,
muscle_region,Hip Flexors,16,53,,,,,
muscle_region,Hip Abductors,17,8,,,,,
muscle_region,Hip Adductors,18,9,,,,,
muscle_region,Full Body,19,18,,,,,
plane_of_motion,Sagittal,1,52,,,,,
plane_of_motion,Frontal,2,2,,,,,
plane_of_motion,Transverse,3,0,,,,,
plane_of_motion,Multi-Planar,4,4,,,,,
range_depth,Full,1,18,,,,,
range_depth,Parallel,2,1,,,,,
range_depth,Partial,3,4,,,,,
range_depth,Box,4,0,,,,,
range_depth,ATG (Ass to Grass),5,1,,,,,
range_depth,Quarter,6,3,,,,,
range_depth,Three-Quarter,7,0,,,,,
range_depth,Lockout Only,8,0,,,,,
range_depth,Variable / Custom,9,2,,,,,
scoring_type,Reps,1,26,,,,,
scoring_type,Rounds + Reps,2,5,,,,,
scoring_type,Load,3,13,,,,,
scoring_type,Time,4,15,,,,,
scoring_type,Distance,5,6,,,,,
scoring_type,Calories,6,3,,,,,
scoring_type,Duration / Hold,7,4,,,,,
scoring_type,Quality,8,5,,,,,
scoring_type,Height / Range,9,3,,,,,
scoring_type,Not Scored / N/A,10,4,,,,,
skill_level,Beginner,1,90,,,,,
skill_level,Intermediate,2,124,,,,,
skill_level,Advanced,3,25,,,,,
stance,Standard,1,31,,,,,
stance,Wide (Sumo),2,0,,,,,
stance,Narrow,3,0,,,,,
stance,Split,4,8,,,,,
stance,Single-Leg,5,4,,,,,
stance,Staggered,6,0,,,,,
stance,Kneeling,7,0,,,,,
stance,Half-Kneeling,8,0,,,,,
stance,Seated,9,2,,,,,
stance,Supine / Prone,10,2,,,,,
stance,Athletic / Partial Squat,11,2,,,,,
symmetry,Bilateral,1,20,,,,,
symmetry,Unilateral,2,4,,,,,
symmetry,Alternating,3,5,,,,,
symmetry,Offset,4,0,,,,,
symmetry,Contralateral,5,0,,,,,
symmetry,Cross-Body / Rotational,6,0,,,,,
variation_option (retiring),Style: Pause,1,0,,,,,
variation_option (retiring),Position: Overhead,1,0,,,,,
variation_option (retiring),Stance: Sumo,1,0,,,,,
variation_option (retiring),Equipment: Barbell,1,0,,,,,
variation_option (retiring),Position: Front,2,0,,,,,
variation_option (retiring),Equipment: Dumbbell,2,0,,,,,
variation_option (retiring),Style: Tempo,2,0,,,,,
variation_option (retiring),Stance: Wide,2,1,,,,,
variation_option (retiring),Style: Jump,3,0,,,,,
variation_option (retiring),Position: Back,3,0,,,,,
variation_option (retiring),Stance: Narrow,3,1,,,,,
variation_option (retiring),Equipment: Kettlebell,3,0,,,,,
variation_option (retiring),Position: Goblet,4,0,,,,,
variation_option (retiring),Equipment: Bodyweight,4,0,,,,,
variation_option (retiring),Stance: Split,4,0,,,,,
variation_option (retiring),Style: Eccentric,4,0,,,,,
variation_option (retiring),Position: Zercher,5,0,,,,,
variation_option (retiring),Style: Standard,5,2,,,,,
variation_option (retiring),Stance: Standard,5,1,,,,,
variation_option (retiring),Equipment: Box,5,1,,,,,
variation_option (retiring),Position: Pike Angle,6,1,,,,,
variation_option (retiring),Style: Partial Range,6,1,,,,,
variation_option (retiring),Equipment: Bench,6,1,,,,,
variation_option (retiring),Equipment: Wall,7,1,,,,,
variation_option (retiring),Equipment: Bands,8,0,,,,,
variation_option (retiring),Equipment: Rings,9,0,,,,,
